iter	Logloss
0	0.5808256897
1	0.516421742
2	0.470653696
3	0.4382273122
4	0.4122673332
5	0.3953291526
6	0.3797847716
7	0.3680561766
8	0.359238977
9	0.3512450112
10	0.3438377498
11	0.337949959
12	0.3307036238
13	0.3263967662
14	0.3231804157
15	0.3200629039
16	0.3167742112
17	0.3134739334
18	0.3110289584
19	0.3066296327
20	0.3065272089
21	0.3064769029
22	0.3064267951
23	0.3063664207
24	0.3062281514
25	0.3060843225
26	0.3060287324
27	0.3059550044
28	0.3058852465
29	0.3058178983
30	0.3057530366
31	0.3056894101
32	0.3043715531
33	0.3043078353
34	0.3042455903
35	0.3031121102
36	0.3030502574
37	0.3029897219
38	0.3011609806
39	0.3011000933
